"","ENSG00000243818.5","ENSG00000286081.1","ENSG00000223991.1","ENSG00000286398.1","ENSG00000225765.2","ENSG00000120907.18","ENSG00000213512.3","ENSG00000111700.13","ENSG00000114742.14","ENSG00000198756.12"
"ENSG00000243818.5",1,0.797077419731577,0.778439487596562,0.779121135374471,0.84459160906606,0.824571881915065,0.863860152433739,0.772470043142022,0.213753050836019,-0.511750791046288
"ENSG00000286081.1",0.797077419731577,1,0.851445316210548,0.759852975589945,0.872546876144636,0.836807968097966,0.820445194852138,0.748108826523195,0.149994446056463,-0.412736395188926
"ENSG00000223991.1",0.778439487596562,0.851445316210548,1,0.736666755104162,0.736742621917252,0.805771537014467,0.797361147844454,0.81010174508299,0.300018213015182,-0.393548204795313
"ENSG00000286398.1",0.779121135374471,0.759852975589945,0.736666755104162,1,0.775038880248834,0.790050146336529,0.796325418503149,0.739179487251559,0.253023218864579,-0.348813752864217
"ENSG00000225765.2",0.84459160906606,0.872546876144636,0.736742621917252,0.775038880248834,1,0.742962535703033,0.793360692447665,0.726318373775293,0.114519286010387,-0.369615252133072
"ENSG00000120907.18",0.824571881915065,0.836807968097966,0.805771537014467,0.790050146336529,0.742962535703033,1,0.857768411235043,0.695504162171,0.262334369677175,-0.574851993306565
"ENSG00000213512.3",0.863860152433739,0.820445194852138,0.797361147844454,0.796325418503149,0.793360692447665,0.857768411235043,1,0.793342835772572,0.14245909607917,-0.489892770717027
"ENSG00000111700.13",0.772470043142022,0.748108826523195,0.81010174508299,0.739179487251559,0.726318373775293,0.695504162171,0.793342835772572,1,0.274312451834317,-0.340413543169005
"ENSG00000114742.14",0.213753050836019,0.149994446056463,0.300018213015182,0.253023218864579,0.114519286010387,0.262334369677175,0.14245909607917,0.274312451834317,1,-0.178435517970402
"ENSG00000198756.12",-0.511750791046288,-0.412736395188926,-0.393548204795313,-0.348813752864217,-0.369615252133072,-0.574851993306565,-0.489892770717027,-0.340413543169005,-0.178435517970402,1
