"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_type"
"ENSG00000120907.18",786.381861883941,-24.644912662205,3.76219363998834,-6.55067628637035,5.72770976760226e-11,1.1721758039398e-06,"ADRA1A","protein_coding"
"ENSG00000213512.3",692.77419500101,-24.3400008311821,3.90998425928979,-6.22508921189448,4.81282073126654e-10,4.92471881326849e-06,"GBP7","protein_coding"
"ENSG00000111700.13",814.951084577567,-24.6405327282524,4.05268364220976,-6.08005334332411,1.20142571757947e-09,8.19572577008797e-06,"SLCO1B3","protein_coding"
"ENSG00000114742.14",1225.64840125736,-2.68126856562474,0.465394937275342,-5.76127574855507,8.34805244517039e-09,4.2710723322603e-05,"WDR48","protein_coding"
"ENSG00000198756.12",1975.3268833418,8.81601591987837,1.61246961882882,5.46739970597504,4.56685453092983e-08,0.000186921355950958,"COLGALT2","protein_coding"
"ENSG00000243818.5",524.514228748601,-24.0916886244471,4.49269948344481,-5.36240821653503,8.21196974186988e-08,0.000280096601278945,"AC021074.3","lncRNA"
"ENSG00000206075.14",139.571883005128,-22.0210090834773,4.18276580212302,-5.26470046979447,1.40418103101123e-07,0.000410522354280639,"SERPINB5","protein_coding"
"ENSG00000174992.8",514.438867914779,-24.0638521328899,4.66425371912851,-5.15920736348496,2.4799751836049e-07,0.000634408651655928,"ZG16","protein_coding"
"ENSG00000153976.3",145.658175527037,6.85953706432392,1.34675521117126,5.09338074761057,3.517343229189e-07,0.000799804768726143,"HS3ST3A1","protein_coding"
"ENSG00000286081.1",101.053458789322,-21.6348690491136,4.27029116408629,-5.0663685959088,4.05476423217986e-07,0.000829807500115609,"AC016682.1","lncRNA"
"ENSG00000165478.7",148.7301025391,-22.3280597965342,4.4758294191961,-4.98858595923535,6.08228469508163e-07,0.00113158142077132,"HEPACAM","protein_coding"
"ENSG00000163217.2",109.454332686789,-21.7856881783798,4.40139242254102,-4.94972637904495,7.43178894736612e-07,0.00126742967339873,"BMP10","protein_coding"
"ENSG00000223991.1",141.750930171933,-22.0515038142303,4.56975976293017,-4.82552802734005,1.39632825848575e-06,0.00219814290845469,"AC104809.1","lncRNA"
"ENSG00000145920.15",514.235772766987,-23.8810692528564,5.08799571139528,-4.69361033449211,2.68425108481968e-06,0.00392379988934534,"CPLX2","protein_coding"
"ENSG00000286398.1",84.6133222529758,-21.6117429312304,4.63675301006169,-4.66096487872726,3.14730431725092e-06,0.00429397219016934,"AL360013.3","lncRNA"
"ENSG00000134184.13",200.74509507865,-22.6974876697985,4.93561607170457,-4.59871419090337,4.25106507297405e-06,0.00543737791990087,"GSTM1","protein_coding"
"ENSG00000225765.2",57.2938030302657,-20.8808785975847,4.56877816607434,-4.57034196858946,4.86928992465967e-06,0.00586176578283295,"LINC01831","lncRNA"
"ENSG00000130598.16",202.324376941189,6.31586809500408,1.38825091467083,4.54951480907302,5.37697500275346e-06,0.00611332185729719,"TNNI2","protein_coding"
"ENSG00000141448.11",883.378760436193,-4.18123660107499,0.932110695688521,-4.4857725808912,7.26502005951832e-06,0.00782519134305486,"GATA6","protein_coding"
